index,ad1,ad2,source_ad1,source_ad2,count.nonparaphrase,count.paraphrase,count.preference_skip,count.preference_ad1,count.preference_ad2
0,まずは、無料カウンセリングから,無料カウンセリングはこちらから,adsimilarity,adsimilarity,0,5,0,6,4
1,【最新62巻】大好評配信,【最新巻62巻】大好評配信,adsimilarity,adsimilarity,0,5,4,2,4
2,12時までの注文で最短当日発送,12時までのご注文で最短当日発送,adsimilarity,adsimilarity,0,5,3,1,6
3,(公式)不動産投資のベルテックス,不動産投資のベルテックス／公式,adsimilarity,adsimilarity,0,5,1,6,3
4,オリックス生命（公式サイト）,オリックス生命公式ホームページ,adsimilarity,adsimilarity,0,5,1,6,3
5,【公式】トヨタのサブスクKINTO,トヨタのサブスクKINTO【公式】,adsimilarity,adsimilarity,0,5,1,9,0
6,【公式】auPAYマーケット,【公式】auPAYマーケット通販,adsimilarity,adsimilarity,1,4,3,3,4
7,【初診料なし】治療薬を最短配送,初診料なし。治療薬を最短お届け,adsimilarity,adsimilarity,1,4,2,6,2
8,スペースヒーター通販／ミスミ,スペースヒーター通販ならミスミ,adsimilarity,adsimilarity,0,5,1,6,3
9,日本和装ホールディングス／公式,公式／日本和装ホールディングス,adsimilarity,adsimilarity,0,5,2,3,5
10,レクサス月額74800円から,"レクサス月額74,800円～",adsimilarity,adsimilarity,0,5,1,3,6
11,パソコン工房【公式通販サイト】,パソコン工房【公式】,adsimilarity,adsimilarity,0,5,0,6,4
12,日々の生活をもっと豊かに快適に,【日々の暮らしをもっと快適に】,adsimilarity,adsimilarity,1,4,1,4,5
13,ご購入をご検討の方へ,ご購入をお考えの方,adsimilarity,adsimilarity,0,5,1,8,1
14,大人気のライズをご紹介,大人気のRAIZEをご紹介,adsimilarity,adsimilarity,0,5,1,2,7
15,10万話以上の無料漫画が楽しめる,漫画10万話以上が無料で読める,adsimilarity,adsimilarity,0,5,1,3,6
16,KANEBO/全品送料無料,カネボウの通販／全品送料無料,adsimilarity,adsimilarity,0,5,2,4,4
